titulo,preco,data_processamento,preco_brl
A Light in the Attic,51.77,2026-02-26 21:49:07,320.97400000000005
Tipping the Velvet,53.74,2026-02-26 21:49:07,333.18800000000005
Soumission,50.1,2026-02-26 21:49:07,310.62
Sharp Objects,47.82,2026-02-26 21:49:07,296.48400000000004
Sapiens: A Brief History of Humankind,54.23,2026-02-26 21:49:07,336.226
The Requiem Red,22.65,2026-02-26 21:49:07,140.43
The Dirty Little Secrets of Getting Your Dream Job,33.34,2026-02-26 21:49:07,206.70800000000003
"The Coming Woman: A Novel Based on the Life of the Infamous Feminist, Victoria Woodhull",17.93,2026-02-26 21:49:07,111.166
The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,22.6,2026-02-26 21:49:07,140.12
The Black Maria,52.15,2026-02-26 21:49:07,323.33
"Starving Hearts (Triangular Trade Trilogy, #1)",13.99,2026-02-26 21:49:07,86.738
Shakespeare's Sonnets,20.66,2026-02-26 21:49:07,128.092
Set Me Free,17.46,2026-02-26 21:49:07,108.25200000000001
Scott Pilgrim's Precious Little Life (Scott Pilgrim #1),52.29,2026-02-26 21:49:07,324.198
Rip it Up and Start Again,35.02,2026-02-26 21:49:07,217.12400000000002
"Our Band Could Be Your Life: Scenes from the American Indie Underground, 1981-1991",57.25,2026-02-26 21:49:07,354.95
Olio,23.88,2026-02-26 21:49:07,148.056
Mesaerion: The Best Science Fiction Stories 1800-1849,37.59,2026-02-26 21:49:07,233.05800000000002
Libertarianism for Beginners,51.33,2026-02-26 21:49:07,318.246
It's Only the Himalayas,45.17,2026-02-26 21:49:07,280.05400000000003
